user,text
PeggyHa71689515,@JoeBiden The White House and the doctors and the campaign are lying to us.  Go back to negative ads.
ThomasKelliher1,@JoeBiden I just hope @realDonaldTrump can remain positive throughout this difficult time.
ozarklass,RT @drjudymelinek: WTAF is wrong with the @CDCgov that they don’t have uniform recommendations? Some of these congressmen are saying they w…
FFree65,"@mmpadellan @JoeBiden I have to agree with you Brooklyn. If @JoeBiden intends to pick up any of 45's supporters, he… https://t.co/zeDRxemyaM"
nothingtoosee0,@gnuseibeh @realDonaldTrump @JoeBiden Whatever ! It is the presidential campaign.. we can not postpone the election… https://t.co/nNkiyD09HB
Michael65646978,@QueenTammySue @BrentScher @DonaldJTrumpJr @JoeBiden Winning you sheep
NateNormanBooks,"@JoeBiden Just not buying your science there, Joe."
DaHeLLbiLLyo,@proteinshakes92 @torn_ainbow @JoeBiden That's good stuff. Nice to see people who put others first
nonicara,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
believer_blue,@JoeBiden put your negative adds back on @realDonaldTrump isn’t taking them down about U the doctors at Walter Reid… https://t.co/PhmHjhu1oW
VixterRod,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
sjrose99,"@drsanjaygupta What's #Trump and his staff really saying: we'd rather die, and take everyone with us, than lose the… https://t.co/YZifuywuBb"
PolyPatriot,"RT @RealJamesWoods: #JoeBiden is the only presidential candidate in history to wage a campaign in absentia. Between his basement, his “lid,…"
JeanFeeney3,RT @EdwardFortuna12: @jonkarl He was positive long before the Debate. He tried to knock @JoeBiden off!!! https://t.co/G024tqdWBS
Art14989324,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
7wolfsong,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
RebelConnection,RT @RepVernonJones: I stopped by the Bethesda Medical Ctr. Mr. President to pray for you. The American people have you on our minds and in…
CoolDudeWDC,"@JoeBiden I just wonder if the other side, the right wing Trump supporters, get the message.  Their campaign has al… https://t.co/cM9DDgVMX4"
PatriciaJean00,"@gnuseibeh @realDonaldTrump @JoeBiden Biden is a gentleman, now MYOB and stay out of US elections. https://t.co/GbHXTSdFVU"
BeltwaySport,RT @JoeBiden: We have to come together. https://t.co/P8SkE6vkX1
jpgolf416,"@JimCarrey @JoeBiden @AlecBaldwin @MayaRudolph @chrisrock This is great, we need to start bringing comedy back into… https://t.co/qjBtuDK3zi"
Ckral13,RT @taffygeek: @SteveSchmidtSES @JoeBiden Biden ads are not negative - they are truthful.  What the US needs now is more honesty.
drjewpoo,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
nwgoboating,RT @MAGAmusic2020: New Anthem #FightBack music for @realDonaldTrump! #2ndAmendment #Trump2020 #MAGA Enjoy @JoeBiden! https://t.co/HS4kYR9ar…
anguilladreams,@JoeBiden Again you are talking about a mask mandate?  It is unconstitutional!  Are you anti-constitution?  Be tran… https://t.co/anAtfPZ60q
scnyny,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
StrenueVeritas,"RT @WalshFreedom: With all the nonstop focus on Trump, this doesn’t get said enough:  Thank you @JoeBiden for campaigning responsibly over…"
MichaelGreens12,RT @jrgaillot: Do you agree that @JoeBiden  should have pulled all negative ads?
MarkJas24727677,"@JoeBiden The left does not hold a bipartisan agenda, so again please, share your plan to engage in making this happen?"
voreverthesame,RT @JoeBiden: Beau Biden was not a loser. https://t.co/hwzlZrjh75
margarethhendr1,"RT @mayaharris_: An important thing to remember about @JoeBiden and @KamalaHarris when it comes to COVID-19: They believe in safety, transp…"
FentonHolland,RT @malcolmkenyatta: In one month we will choose: Truth over Lies. Science over Fiction.  Unity over Division. Hope over Fear.  We’ll choos…
JudyPau82293453,@JoeBiden Thank you Joe!   Love your caring messages!   Looking forward to your presidency!   Praying for you and J… https://t.co/fPbSFNylyE
ManAlive85,"@emmapang8 @EvanRandolph17 @JoeBiden But it does fit Trump’s narrative to turn public opinion against China, which… https://t.co/Ox9bhy1Cyo"
SirVantes137,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
602Erik,@hypomanicII @JoeBiden I dunno.  The @GOP has been feeding you all bullshit about how serious covid is has been free campaign advertising.
ROTSA1,"RT @ROTSA1: @CarolineGlick Fascism, authoritarianism, xenophobia, racism, scandal and lies shall end on January 20, 2021. Transparency, dec…"
dadapabri,"RT @JimCarrey: “Look...here’s the deal!” I’m playin’ @JoeBiden Live From NY on Saturday Night with @AlecBaldwin, @MayaRudolph, the amazing…"
BonJS0370,RT @homeboozing: @seemva1 @DrEricDing @jennycohn1 @KamalaHarris @VP @TDucklo @JoeBiden @AndrewBatesNC We don't have to cancel anything. The…
RichHomieEv,"RT @mrbenwexler: If the roles were switched, Trump would mock him mercilessly"
MaryRubio1,RT @aChristmasKaren: @PattyArquette @gnuseibeh @realDonaldTrump @JoeBiden I’ll bet Trump would love to be there to see his Supreme Court ju…
mamabearwakesup,RT @60Mins: Opponent of the opponent. A former staffer of @JoeBiden reveals why the Democrat candidate should never be President. SUNDAY on…
NNaughty2020,RT @JoeBiden: We have to come together. https://t.co/P8SkE6vkX1
Cinder_Blue2020,@maxepaws @mmpadellan @JoeBiden Possibly. If you look at the text at the end of the ad it will show who paid for it… https://t.co/gqTaSVTEMS
janice_e,"RT @rudepundit: Seriously, @JoeBiden or @ProjectLincoln or someone needs an ad out now about Trump directly endangering the lives of people."
B3throx,RT @RichardGrenell: Reminder: @JoeBiden is running TV commercials saying he will mandate masks in January 2021 if elected.
jenniferbonjean,@JoeBiden stop with the good guy bullshit. @realDonaldTrump was infected at the super spreader Rose garden ceremony… https://t.co/48N4pdqLS2
sheaomejia,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
AmericanVoter6,@BrentScher @DonaldJTrumpJr @JoeBiden Biden should do.what Trump would do. When Hillary had Pneumonia Trump mocked… https://t.co/Q4fB9RP7F4
A_Rudenstam,@JoeBiden True! But he has managed to focus some important things. In his akward manner but still...  Relationship… https://t.co/8q3hak3y6F
PDatton,Is this just an idea @JoeBiden ??     #joebiden?? https://t.co/2WnP4wJRdT
John_Rossomando,@JZmirak @AsTheRain1 @rothfarms @GKJoe @ColleenEldrach1 @AaronBorgerdin1 @NateNormanBooks @JoeBiden @SohrabAhmari T… https://t.co/QeQihPlgaM
FloridaSharkman,"RT @IndigoCrow74: The Democrats ""White Man's Handbook"" printed in 1898 @JoeBiden @KamalaHarris  @SpeakerPelosi @Acosta  @seanhannity @realD…"
kathyfig,RT @SteveSchmidtSES: .@JoeBiden Please put your ads back on the air ASAP. Trump is a profound danger to the future of the company. His infe…
305Resistance,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
WillBearBauer,RT @meenaharris: One thing I can tell you that @JoeBiden and @KamalaHarris do not have is a reckless disregard for human life. 30 days.
twocanuck,RT @malcolmkenyatta: In one month we will choose: Truth over Lies. Science over Fiction.  Unity over Division. Hope over Fear.  We’ll choos…
GigiLs88,RT @ArthurSchwartz: He’s coming for your guns.
christinepatt15,RT @SteveSchmidtSES: Compassion and decency do not require unilateral disarmament. @JoeBiden.  Press forward. Attack. Spend them into the g…
GRGirl8,RT @B52Malmet: Biden’s campaign pulled its negative ads. Trump’s did not. Biden is human. Trump is not. Put back your ads @JoeBiden - you s…
andykupf,"@corren_love @JoeBiden If the shoe were on the other foot, Trump would have tried to bury it in Biden’s a$$, but… https://t.co/byJvmIb6iZ"
RobertH81446158,RT @Swamptreasure: @Shuggyheadshot @GlenWoodfin @JoeBiden The looters are BLM and Antifa. Far left. Own it. Say it
fiddlestix007,RT @RepVernonJones: I stopped by the Bethesda Medical Ctr. Mr. President to pray for you. The American people have you on our minds and in…
PeggyBougie,"RT @JustSchmeltzer: If I am @JoeBiden, I am using this moment, when people are nervously watching the news a lot, to buy 30 mins on network…"
canimalex,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
MalveleneV,RT @RepVernonJones: I stopped by the Bethesda Medical Ctr. Mr. President to pray for you. The American people have you on our minds and in…
sayingwriting,RT @NotDevinsMom: Put your negative ads back up @JoeBiden. They knowingly  did not inform anyone Trump was positive for corona. You owe the…
phillynormal,RT @SJ_Galvez: What started as a piece highlighting how I went from working with creators @MakerStudios to running @JoeBiden’s social team…
cmw582,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
tammy_dreyer,RT @deb1956m: @JoeBiden please put your ads back up. Trump and his campaign had no problem risking your life by exposing you and your suppo…
Brenda22885988,"RT @MAGA_Girl23: Look at what we have here, @JoeBiden!! 🤔 #MAGA #KAG #Trump2020 🇺🇸 https://t.co/Pn6RmySXg7"
traderRealEs_F,RT @RepVernonJones: I stopped by the Bethesda Medical Ctr. Mr. President to pray for you. The American people have you on our minds and in…
JudithCardamone,RT @mmpadellan: Dear @JoeBiden -- It's time to go ahead and put your ads back up. The Commander-in-Covid just tried to kill you.
o_voter,So @JoeBiden came in contact with someone who tested positive and should be doing self isolation like everyone else… https://t.co/4yraJZtBUP
