,user,text,cleaned_text,Sentiment_Polarity,Expression Label
0,JustTheTweets17,@VicToensing @brithume @JoeBiden Chris seems to have something  to hide of importance.,victoensing brithume joebiden chris seems something hide importance,0.0,Neutral
1,thaychocolatina,@JoeBiden Don’t answer the ridiculous packing judge seats questions. Trump and McConnell are packing now!! McConnel… https://t.co/xFJKMv1TJe,joebiden answer ridiculous packing judge seat question trump mcconnell packing mcconnel httpstcoxfjkmvtje,-0.3333333333333333,negative
2,JHandley27,RT @VicToensing: Nasty Democrat  #ChrisWallace criticized a real journalist @brithume for having “controversial view” re @JoeBiden being se…,rt victoensing nasty democrat chriswallace criticized real journalist brithume controversial view joebiden se ,-0.08333333333333333,negative
3,IrishLass2157,RT @johnis44: I love dogs!! They’re so smart!! #dogsforbiden #ONEV1 #DemCast @JoeBiden https://t.co/hQqHjbsoEO,rt johnis love dog smart dogsforbiden onev demcast joebiden httpstcohqqhjbsoeo,0.35714285714285715,positive
4,Karlkrealtor,"RT @IngrahamAngle: Joe Biden and his unaccountable “experts” will keep you locked down for most of next year, but you don’t “deserve” to kn…",rt ingrahamangle joe biden unaccountable expert keep locked next year deserve kn ,0.0,Neutral
5,cati1836,@RikkeNerli @musicandwhiskey @JoeBiden The United states isnt a direct democracy. We dont want a direct democracy.,rikkenerli musicandwhiskey joebiden united state isnt direct democracy dont want direct democracy,0.1,positive
6,AishaKevotes,"@MaxNordau @KamalaHarris @JoeBiden The ""I'm speaking"" was setting up the already determined media narrative that Pe… https://t.co/kahsEGtXQ2",maxnordau kamalaharris joebiden im speaking setting already determined medium narrative pe httpstcokahsegtxq,0.0,Neutral
7,SusanScudder2,RT @RichardGrenell: . @JoeBiden just left the stage and walked over to people - WITHOUT A MASK.   Where is @Acosta and @kaitlancollins and…,rt richardgrenell joebiden left stage walked people without mask acosta kaitlancollins ,0.0,Neutral
8,Hawaiiancb,RT @VicToensing: Nasty Democrat  #ChrisWallace criticized a real journalist @brithume for having “controversial view” re @JoeBiden being se…,rt victoensing nasty democrat chriswallace criticized real journalist brithume controversial view joebiden se ,-0.08333333333333333,negative
9,user34151,"RT @KamalaHarris: Together, we will build our country back better than before.  It was an honor to make the case for @JoeBiden’s and my cam…",rt kamalaharris together build country back better honor make case joebiden cam ,0.25,positive
10,rccurby,@tonikuehl12 @Nuschlerr @JoeBiden You’re a fan of passing bills to see what’s in them too right?,tonikuehl nuschlerr joebiden fan passing bill see right,0.2857142857142857,positive
