,user,text,cleaned_text,Sentiment_Polarity,Expression Label
0,clauteis,RT @tribelaw: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/5taLcwF72r,rt tribelaw realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcotalcwfr,0.0,Neutral
1,Emma_JeanStone,"Believe me when I tell you none of them are getting away, do not listen to anything #DonaldTrump says, he’s dead.",believe tell none getting away listen anything donaldtrump say dead,-0.2,negative
2,JacquieWells4,"RT @CupofJoeintheD2: @atrupar Hey #DopeyDon, you told the Right Wing Militia to Liberate #Michigan and your #WackaDoo cult following of the…",rt cupofjoeinthed atrupar hey dopeydon told right wing militia liberate michigan wackadoo cult following ,0.14285714285714285,positive
3,ActivistBowen2,"seeking help from TERRORISTS...,reinforcing how DESPERATE he is (October 11, 2020; 21:49 HKT) #DONALDTRUMP #DRUMPF #TRUMP #FAIL",seeking help terroristsreinforcing desperate october hkt donaldtrump drumpf trump fail,-0.55,negative
4,ActivistBowen2,"update: RAW STORY: seeks help with this devastating polls numbers by scoring the TALIBAN vote (October 11, 2020; 21… https://t.co/nyEEoc5XqT",update raw story seek help devastating poll number scoring taliban vote october httpstconyeeocxqt,-0.6153846153846154,negative
5,bobdabolino01,RT @drboycewatkins1: #Biden supporters are saying that all 50 million #Trump supporters are going to kill #blackpeople.  #DonaldTrump suppo…,rt drboycewatkins biden supporter saying million trump supporter going kill blackpeople donaldtrump suppo ,0.0,Neutral
6,knitagran,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
7,BassFiddleLynn,RT @TheReal_NRP: Here’s @realDonaldTrump on preschool on legos #comedy #impressions #legos #DonaldTrump @nbcsnl https://t.co/jbz32O6xYH,rt therealnrp realdonaldtrump preschool lego comedy impression lego donaldtrump nbcsnl httpstcojbzoxyh,0.0,Neutral
8,sondraemerson12,RT @Harryslaststand: #DonaldTrump may no longer be contagious for #COVID__19 but he is still a super spreader for fascism and should be enc…,rt harryslaststand donaldtrump may longer contagious covid still super spreader fascism enc ,0.3333333333333333,positive
9,bobdabolino01,RT @drboycewatkins1: How the #DemocraticParty put #DonaldTrump in office - Dr Boyce Watkins https://t.co/CiqU4zcf5u,rt drboycewatkins democraticparty put donaldtrump office dr boyce watkins httpstcociquzcfu,0.0,Neutral
10,AnnJTerry,"RT @derekjames150: Just think, if we had an MSM that did its job properly and held politicians to account for their crimes, #DonaldTrump an…",rt derekjames think msm job properly held politician account crime donaldtrump ,0.0,Neutral
11,carrieme44,"RT @BetteMidler: THANK GOD!  We won't have to listen to the bag of hot, incessant wind that is #DonaldTrump as he interrupts a serious cand…",rt bettemidler thank god wont listen bag hot incessant wind donaldtrump interrupt serious cand ,-0.04166666666666666,negative
12,windowtonews,"Trump campaign's new ad features Fauci - Window To News https://t.co/FltzboxQ0M   #Washington,#Covid,#DonaldTrump",trump campaign new ad feature fauci window news httpstcofltzboxqm washingtoncoviddonaldtrump,0.13636363636363635,positive
